"DateAndTime","BLOCK_1_INV_1","BLOCK_1_INV_2","BLOCK_2_INV_1","BLOCK_2_INV_2","BLOCK_3_INV_1","BLOCK_3_INV_2","BLOCK_4_INV_1","BLOCK_4_INV_2","BLOCK_5_INV_1","BLOCK_5_INV_2","BLOCK_6_INV_1","BLOCK_6_INV_2","BLOCK_7_INV_1","BLOCK_7_INV_2","BLOCK_8_INV_1","BLOCK_8_INV_2","BLOCK_9_INV_1","BLOCK_9_INV_2","BLOCK_10_INV_1","BLOCK_10_INV_2","Block1_MFM_Exp","Block2_MFM_Exp","Block3_MFM_Exp","Block4_MFM_Exp","Block5_MFM_Exp","Block6_MFM_Exp","Block7_MFM_Exp","Block8_MFM_Exp","Block9_MFM_Exp","Block10_MFM_Exp","Irr_Hz","Irr_Tilt","Irr_Tracker1","Irr_Tracker2","Sesional_PR","Tracker_PR","Total_PR","CUF","Sesional_Gen","Tracker_Gen","Inv","OG_11KV","OG_132KV_T","OG_132KV_A","Loss","Plant_Start_Tm","Plant_Stop_Tm","Plant_UP_Tm","Plant_Dwn_Tm","BLOCK_1_INV_1_Tm","BLOCK_1_INV_2_Tm","BLOCK_2_INV_1_Tm","BLOCK_2_INV_2_Tm","BLOCK_3_INV_1_Tm","BLOCK_3_INV_2_Tm","BLOCK_4_INV_1_Tm","BLOCK_4_INV_2_Tm","BLOCK_5_INV_1_Tm","BLOCK_5_INV_2_Tm","BLOCK_6_INV_1_Tm","BLOCK_6_INV_2_Tm","BLOCK_7_INV_1_Tm","BLOCK_7_INV_2_Tm","BLOCK_8_INV_1_Tm","BLOCK_8_INV_2_Tm","BLOCK_9_INV_1_Tm","BLOCK_9_INV_2_Tm","BLOCK_10_INV_1_Tm","BLOCK_10_INV_2_Tm"
2018-04-28 23:51:46,17903.40,16663.20,22523.70,17365.90,21909.60,21186.80,21396.70,21426.60,21937.40,21175.60,16615.00,17665.20,16861.50,17273.10,16802.30,17691.30,16768.60,17195.50,17357.80,17810.40,34.41,39.72,42.84,42.59,42.89,34.10,33.86,34.30,33.76,34.97,6.93,6.79,8.57,6.88,74.68,92.08,82.02,23.09,185.26,188.34,375.53,374.02,368.45,369.00,48.88,"6:11","18:52","12:16","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-04-29 23:51:46,21276.00,20753.30,22221.30,17158.80,21968.70,20902.90,21091.30,21128.80,21656.30,20899.10,16382.60,17404.10,16640.10,17028.20,16531.60,17385.30,16564.40,16975.50,17149.00,17531.20,41.83,39.21,42.62,42.01,42.33,33.61,33.40,33.73,33.33,34.49,6.76,6.60,8.28,6.69,75.77,97.69,85.13,23.29,191.01,185.72,378.65,377.27,371.65,372.12,50.03,"6:11","18:52","12:18","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-04-30 23:50:05,23700.90,23414.60,25022.50,18716.60,24520.40,23702.10,23963.60,24021.50,24505.80,23873.00,18105.80,19185.80,18507.50,18883.20,18328.00,19291.10,18441.80,18857.50,18766.50,19211.70,46.86,43.52,47.89,47.68,48.08,37.07,37.06,37.38,37.04,37.75,7.31,7.07,9.33,7.32,78.06,102.87,88.66,25.99,215.53,205.02,423.02,420.99,414.67,415.25,50.56,"6:8","18:54","12:22","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-03 23:51:02,14555.60,14170.50,13164.10,13293.20,13526.30,13669.60,13780.20,13711.10,14113.20,13809.40,13277.50,13910.00,13111.30,13547.20,12908.00,13626.00,8260.80,12658.90,13598.80,14114.90,28.71,26.46,27.15,27.48,27.86,27.10,26.51,26.45,20.86,27.62,5.26,4.29,5.47,4.25,89.49,97.27,93.18,16.47,124.37,141.83,266.81,266.85,262.78,263.13,24.01,"6:49","17:50","9:47","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","1:50","0:0","0:0","0:0"
2018-12-04 23:50:40,13278.50,12946.40,12032.30,12322.30,12266.70,12439.20,12536.10,12501.00,12891.30,12226.70,12507.10,12894.50,12232.90,12679.80,11942.80,12599.50,10656.20,11618.40,12577.90,13033.30,26.22,24.35,24.68,25.03,25.07,25.32,24.78,24.47,22.20,25.53,4.96,4.10,5.06,4.09,88.83,92.44,90.66,15.32,113.02,134.62,248.18,248.24,244.43,244.87,24.99,"6:47","17:51","10:42","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-05 23:50:46,11354.50,11016.50,10197.90,10398.30,10194.30,10347.70,10514.50,10505.30,10809.20,10634.20,10723.80,10919.20,10453.10,11036.30,10191.40,10790.10,9048.10,9917.60,10715.10,11078.80,22.37,20.61,20.53,21.03,21.42,21.61,21.40,20.94,18.93,21.74,4.31,3.65,4.24,3.67,85.31,87.84,86.66,13.03,95.55,115.02,210.85,211.10,-134243.91,208.14,26.77,"6:57","17:54","10:29","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-06 23:50:51,13344.50,12609.40,12197.00,11869.70,11862.10,12179.90,12496.60,12409.80,12385.60,11888.30,12659.10,12582.10,11999.70,12820.60,11663.20,12300.50,9949.90,11086.60,11429.50,11779.40,25.94,24.06,24.01,24.90,24.23,25.17,24.69,23.90,20.98,23.15,5.08,4.16,4.96,4.02,84.52,89.85,87.09,14.91,111.28,129.75,241.51,241.57,134689.78,238.37,28.72,"6:52","17:54","10:35","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-07 23:50:56,13468.20,13250.10,12681.80,12388.40,12321.90,12340.70,12352.80,12282.30,12915.90,12730.90,12444.20,12404.90,11854.70,12678.90,11576.90,12242.60,10126.50,11015.80,12604.90,13084.50,26.71,25.07,24.64,24.64,25.61,24.79,24.41,23.76,21.09,25.61,4.99,4.05,5.15,3.98,88.20,94.61,91.29,15.24,114.28,132.05,246.77,246.94,243.23,243.62,25.97,"6:54","17:55","10:34","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-08 23:50:29,8619.30,8386.80,8054.70,8208.20,7671.30,7867.60,7956.40,7885.60,8069.90,8007.70,8557.00,8471.70,8058.80,8548.60,7895.90,8373.90,6716.40,7484.00,8572.80,8824.60,16.98,16.26,15.52,15.83,16.05,16.97,16.52,16.22,14.16,17.35,3.41,2.76,3.27,2.73,87.83,88.19,88.28,10.03,72.44,89.42,162.23,162.40,159.97,160.14,28.74,"6:58","0:0","6:17","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-08 23:51:03,13083.30,12698.40,12456.60,11906.30,12068.10,12281.70,12479.80,12349.70,12544.30,12409.50,12717.50,12508.60,11906.70,12740.30,11613.30,12241.10,9957.20,11028.20,12078.70,12495.20,25.76,24.35,24.31,24.82,24.91,25.14,24.51,23.78,20.92,24.49,4.97,4.05,5.09,4.03,87.28,92.90,89.98,15.03,112.26,130.74,243.57,243.54,239.90,240.24,26.55,"6:55","17:53","10:37","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
